,product_title,pack_size,product_price,rating_count
0,MARIGOLD HL Milk - Plain,1 L,$3.20,(298)
1,Berry Field Whole Korean Strawberry Fruits - Frozen,1 kg,$15.60,(119)
2,Arla Organic Milk,1 L,$3.95,(91)
3,Beyond Meat Beyond Burger Plant Based Meat - Frozen,226 g,$13.90,(117)
4,Serve by Hai Sia Seafood Sustainable Ling Slice - Frozen,200 g,$5.95,(26)
5,The Butcher's Dining Ribeye steak Meal kit - New Zealand,410 g,$15.05,(11)
6,Enfagrow A+ Stage 3 Baby Formula Milk Powder (1-3Y),1.8 kg,$81.65,(121)
7,Magnolia Fresh Milk,1 L,$3.50,(332)
8,Colgate Optic White Volcanic Minerals Whitening Toothpaste 100g,100 g,$7.65,(4)
9,Sulina Pork Belly Sukiyaki - Frozen,400 g,$7.50,(155)
10,Koufuku Beikoku Cacao Granola,200 g,$6.40,(0)
11,The Butcher's Dining Herbs/Garlic And Olive Oil Beef Striploin - Singapore,360 g,$11.49,(9)
12,Lukan Mandarin Orange Gift Pack XL/L (15/18pc),3 kg,$2.94,(179)
13,Spain Easy Peel Seedless Mandarins,1 kg,$14.95,(43)
14,GIVVO Yusheng 3 In 1 Shredded Lo Hei Set,150 g,$2.85,(11)
15,GIVVO Chinese Cabbage Wong Bok,1.5 kg,$6.95,(156)
16,GIVVO Enoki Mushroom,100 g,$0.70,(542)
17,Chinese Tang Oh,200 g,$2.40,(122)
18,Yeo's Ice Green Tea Brewed with Jasmine Packet Drink - Case,24 × 250 ml,$7.83,(170)
19,Pampers Premium Care Pants XL - Case,4 × 30 per pack,$75.10,(133)
20,Fresh Meats NZ Grassfed Butterflied Leg Of Lamb - New Zealand,1.8 kg,$64.95,(0)
21,Pocari Sweat ION Supply Drink - Case,24 × 500 ml,$24.00,(25)
22,Kagome Original Vegetable Juice - Case,12 × 200 ml,$20.00,(15)
23,Bonsoy Organic Soy Milk - Case,6 × 1 L,$28.80,(86)
24,McCormick Basil Leaves,17 g,$4.45,(14)
25,McCormick Stick Cinnamon,21 g,$7.56,(0)
26,Artisan Grains Tricolour Couscous,200 g,$4.90,(1)
27,RedMart Black Chinese Mushroom,125 g,$3.30,(65)
28,McCormick Sea Salt Grinder,60 g,$6.99,(11)
29,McCormick Ground Nutmeg,31 g,$6.35,(15)
30,Dasani Drinking Water - Case,12 × 1.5 L,$7.20,(1129)
31,Glaceau Power-C Dragonfruit Vitamin Water (12 x 500ml) - Case,12 × 500 ml,$20.20,(29)
32,Glaceau XXX Acai-Blueberry-Pomegranate Vitamin Water - Case,12 × 500 ml,$19.90,(43)
33,Dasani Mineral Water - Case,12 × 1.5 L,$8.20,(326)
34,Glaceau Power-C Dragonfruit Vitamin Water,500 ml,$1.85,(16)
35,Dasani Drinking Water - Case,24 × 600 ml,$7.20,(645)
36,Cadbury Old Gold Roast Almond Dark Chocolate Block,180 g,$6.25,(5)
